background,Chrt_ID,이름,Chrt_OnF,Event,Sound,BGM,BGM2,Text,비고
,,,,,,,,"(헤안이 숨을 들이켜고, 천천히 말을 다시 꺼냈다.",
,H,헤안,H_default_def,,,,,에런님께서는 황후의 심복이었습니다.,
,H,헤안,H_default_def,,,,,그렇기 때문에 황후가 한 짓들을 몰랐을 리는 없을 것 같군요.,
,,,,,,,,(에런이 황후의 심복인 것은 그때의 재회에서 충분히 알 수 있었다.,
,,,,,,,,(하지만···. ,
,,,,,,,,(그건 분명 나와 같은 사정 때문에 억지로 묶여 있는 것이라고 생각했다.,
,,,,,,,,(이제는 나 혼자만의 착각이 되어버렸지만 말이다.,
,,,,,,,,"(여기까지 온 이상, 이 모든 일에 그의 판단과 의지가 없다고 할 수는 없을 것 같았다.",
,S,세레나,,,,,,네. 어제 본인이 스스로 인정했습니다.,
,S,세레나,,,,,,"사정이 있는 것 같았지만, 이제는 제가 신경 쓸 필요는 아닌 것 같습니다.",
,,,,,,,,(정말 단호해져야만 할 때다.,
,H,헤안,H_default_des,,,,,···아마 세레나님과 제가 공작가에 다녀왔다는 사실도 알고 계실 겁니다.,
,S,세레나,,,,,,"어제 대화했을 때, 말씀하셨습니다. 이미 알고 계시더군요.",
,H,헤안,H_default_def,,,,,그렇군요. 이뿐만 아니라 실제로 에런님이 황실에 편지를 썼던 정황도 확인했습니다.,
,H,헤안,H_default_def,,,,,"그러니, 저는 최대한 에런님을 기사단과 관련된 일에서 배제하도록 하겠습니다.",
,H,헤안,H_default_def,,,,,그가 황후에게 소식을 전하지 못하도록요.,
,,,,,,,,(나는 섣불리 그러라는 대답을 하지 못했다.,
,,,,,,,,"(아무리 몸부림 쳐봐도, 그 얄팍한 애정에서 벗어나지 못하고 있었기 때문에.",
,,,,,,,,"(다짐만 할 뿐, 실천이 되질 않았다.",
,,,,,,,,(몸과 마음이 따로 논다는 게 이런 말이구나 싶었다.,
,,,,,,,,(대체 얼마나 더 골탕을 먹어야 변할 수 있을까.,
,,,,menu,,,,(스승님은 더 이상 내가 알던 사람이 아닌데도.,
,,,,choise1,,,,헤안의 결정에 고민한다.,헤안 호감도 5 상승
,,,,choise2,,,,헤안의 결정에 동의한다.,헤안 호감도 10 상승 
,S,세레나,,jump1,,,,일에서 배제하는 게 가능할까요?,
,S,세레나,,,,,,"배제한다고 해도, 그는 저희를 훼방 놓을 겁니다.",
,S,세레나,,,,,,황후에게 어떤 방식으로든 정보를 전달할 거고요.,
,S,세레나,,,,,,의미 없을지도 모릅니다.,
,S,세레나,,,,,,에런님이 어떤 방식으로 나올지 모르니까요.,
,H,헤안,H_default_def,,,,,그렇다고 손 놓고 바라볼 수만은 없지 않습니까.,
,H,헤안,H_default_def,,,,,세레나님.,
,,,,,,,,(그가 단호히 내 이름을 불렀다.,
,H,헤안,H_default_def,,,,,두려워하지 마세요. 그리고 나약해지지도 마세요.,
,,,,,,,,(헤안은 나를 뚫어본 듯했다.,
,,,,,,,,(내가 스승님에게 버려질까 봐 두려워하는 건 어떻게 안 걸까.,
,,,,,,,,(난 이미 버려졌는데 말이다.,
,S,세레나,,,,,,알겠습니다···. ,
,S,세레나,,,,,,그럼 당분간은 부탁드리겠습니다.,
,,,,,,,,"(이제부터는 정말, 그를 철저하게 내 안에서 버려야만 한다.",
,,,,,,,,(그는 더 이상 내가 알던 사람이 아니니까.,
,S,세레나,,jump2,,,,···네. 그렇게 해주세요.,
,S,세레나,,,,,,그리고 당분간은 지켜봅시다.,
,S,세레나,,,,,,"그를 이용해, 황후를 혼란스럽게 할 수도 있으니까요.",
,,,,,,,,(그를 철저히 내 안에서 버려야만 한다.,
,,,,,,,,(이용해야만 한다.,
,,,,,,,,(이제 그는 더 이상 내가 알던 사람이 아니니까.,
,H,헤안,H_default_def,,,,,"네, 알겠습니다.",
,기사,기사,Knight_default,"end, shake",,ptsd3,,단장님!,화면 흔들림
,기사,기사,Knight_default,,,,,"그때, 아무런 신호 없이 기사 한 명이 막사로 들이닥쳤다.",
,S,세레나,,,,,,무슨 일이지?,
,기사,기사,Knight_default,,,,,황제께서 서거하셨다고 합니다···!,
,,,,,,,,(여기까지는 알고 있는 내용이었다.,
,,,,,,,,(하지만 숨겨왔던 걸 다시 알리는 이유는?,
,,,,,,,,"(그때, 문득 생각이 스쳤다.",
,,,,,,,,"(이미 내가 다 알아버렸으니, 숨길 이유가 없어졌으니까. ",
,,,,,,,,(역시 내가 목적이었던 것이었다.,
,,,,,,,,"(그리고 무엇인지는 몰라도, 그들의 다음 계획이 실행되어야 할 테니까.",
,,,,,,,,(여기까지는 예상 내라 괜찮았다.,
,기사,기사,Knight_default,,,,,"그리고, 황실이 왕국 측에 휴전을 요청했다고 합니다.",
,기사,기사,Knight_default,,,,,그래서 우리 기사단이 회담에 참여해야 한다고···.,
,,,,,,,,(여기서부터는 예상치 못한 내용이었다.,
,,,,,,,,(도저히 황후의 흐름을 따라갈 수가 없었다.,
,,,,,,,,(쉴 틈 없이 들이닥치는 파도와도 같았다. 숨이 막혀왔다.,
,,,,,,,,(나와 헤안은 골치가 아파졌다.,
,S,세레나,,,,,,하···.,
,,,,,,,,"(황제가 서거한 일은 확실히 전쟁 면으로 봤을 때, 제국에게 불리한 일이었다.",
,,,,,,,,"(그렇다고 상의 없이 이렇게 독단적으로 일을 벌이는 것은, 대체 무슨 꿍꿍이를 가져야 나오는 것인지 알 수 없었다.",
,,,,,,,,(또다시 나를 죽음에 몰기 위한 함정일지도 몰랐다.,
,,,,menu,,,,"(하지만 이미 황실이 왕국 측에 요청까지 해놓은 이상, 우리가 할 수 있는 일은 없었다.",
,,,,choise1,,,,화를 낸다.,헤안 호감도 0 상승
,,,,choise2,,,,침착하게 행동한다.,헤안 호감도 10 상승 
,,,,jump2,,,,"(솔직하게, 화가 안 날 수가 없었다.",
,S,세레나,,,,,,어차피 우리에게 선택지도 없습니다.,
,S,세레나,,,,,,그냥 할 수밖에 없겠네요.,
,,,,,,,,(분위기는 험악해졌다. 소식을 전한 기사가 눈치를 보고 있었다.,
,H,헤안,H_default_des,,,,,···알겠습니다.,
,,,,jump2,,,,"(화가 날 수밖에 없는 상황이었지만, 침착하게 행동해야만 했다.",
,S,세레나,,,,,,"헤안, 지금 상황에서 저희가 할 수 있는 일은 없겠죠?",
,H,헤안,H_default_des,,,,,거부하면 바로 전쟁일 겁니다.,
,,,,end,,,,"(나는 그의 대답을 듣고, 곧바로 할 기사에게 전달했다.",
,S,세레나,,,,,,프라타히라 왕국 측과의 회담 장소는?,
,기사,기사,Knight_default,,,,,여기서 멀지 않은 레이니 호수입니다.,
,S,세레나,,,,,,"알았다. 곧바로 여기를 정리하고, 레이니 호수로 향한다.",
,S,세레나,,,,,,"그리고, 제국 측이 전에 보냈던 병사들과 기사들은 다시 제국으로 보내.",
,,,,,,,,(제국의 간섭을 최소화하고 싶었다. 이 정도는 내가 할 수 있는 권한이었다.,
,,,,,,,,(이래도 스승님을 보낼 방법은 없었지만.,
,기사,기사,Knight_default,,,,,네. 알겠습니다! 전달하도록 하겠습니다!,
,,,,,,,,"(결국 우리는 그녀가 왜 전쟁을 일으켰고, 이 시기에 황제를 죽였으며, 이제는 휴전을 타협하라는 건지.",
,,,,,,,,(그녀에 대한 진상을 파악하는 시간조차 없었다.,
,E,에런,E_default_des,,,,,세레나···.,
,,,,,,,,"(그리고, 연이어 다른 손님이 들어왔다.",
,,,,,,,,(불청객이었다.,
,S,세레나,,,,,,······.,
,,,,,,,,(분명 그와 눈이 마주쳤다.,
,S,세레나,,,,,,"헤안, 잘 부탁드리겠습니다.",
black,,,,,,,,"(하지만 나는 그를 무시하고, 헤안에게 짧은 인사만을 건네고 자리를 떴다.",검은화면
,,,,,,,,(그를 버리기로 나 자신과 약속했으니까.,
야영지_외부_낮,,,,,,comfort7,,"(그렇게 하루가 걸려, 약속된 회담 장소에 도착했다.",기존 막사 외부에서 막사 몇개 디자인만 바꾼 막사 외부 (가능할까...요)
,,,,,,,,"(이미 왕국 측은 도착해서, 회담의 준비까지 끝내놓은 상황이었다.",
,,,,,,,,(재빠르게 회담이 펼쳐질 막사 안으로 들어갔다.,
,,,,,,,,(긴장감이 돌았다. 살벌했다.,
,,,,,,,,(어느 누가 여기서 돌발행동을 할지는 알 수 없었으니.,
,S,세레나,,,,,,죄송합니다. 급히 소식을 알아 늦었습니다.,
,S,세레나,,,,,,"에프탈 제국의 제1 황녀, 세레나 에프탈이라고 합니다.",
,,,,,,,,(나는 왕국 측의 대표에게 손을 건넸다.,
,,,,,,,,(왕국의 대표가 입고 있던 로브를 걷어 올렸다.,
,,,,,,,,(나는 몸이 굳었다.,
,A,아드리안,A_default_def,,,adrian1,,"괜찮습니다. 저는 프라타히라 왕국의 왕자, 아드리안 하몬이라고 합니다.",
,A,아드리안,A_default_def,,,,,"이제 막 도착하신 것 같으니, 잠시 짐이라도 내려놓을 시간을 갖죠.",
,,,,,,,,(그는 내 눈을 피했다.,
,,,,,,,,"(내가 지금 마주한 그가, 프라타히라의 왕자라니.",
,,,,,,,,(머릿속이 엉망이 되었다. 정리가 되지 않았다.,
,,,,menu,,,,"(그는 그렇게 내 악수를 놓고, 재빠르게 막사 밖으로 나갔다.",
,,,,choise1,,,,아드리안을 쫓아간다.,아드리안 호감도 10 상승
,,,,choise2,,,,헤안과 이야기를 나눈다.,헤안 호감도 10 상승
,,,,jump1,,,,(나 또한 그를 쫓아 밖으로 나갔다.,
,,,,,,,,세레나님···!,
,,,,,,,,"(헤안이 당황스러워하며, 내 이름을 불렀다.",
,,,,,,,,(하지만 지금은 그의 말을 들을 틈이 없었다.,
,S,세레나,,jump2,,,,"헤안, 일단 기사단의 정리를 부탁드립니다.",
,S,세레나,,,,,,저는 잠시 볼일이 있어서.,
,H,헤안,H_defualt_des,,,,,여기서 무슨 일이 있다는 겁니까.,
,,,,,,,,"(그는 내가 혹여나 에런에게 갈까, 노심초사한 모양이었다.",
,S,세레나,,,,,,헤안이 생각하는 그런 일 아닙니다. 걱정 마세요.,
,S,세레나,,,,,,금방 돌아오겠습니다.,
,,,,,,,,(나는 아드리안을 쫓아 밖으로 나갔다.,
숲_낮,,,,end,,-,,"(그렇게 쫓아간 결과, 막사와는 조금 떨어져 아무도 없는 곳에 다다랐다.",숲 배경
,,,,,,,,(그가 어색하게 뒤를 돌아서 있었다.,
,,,,,,,,(나는 천천히 아드리안에게 다가갔다.,
,,,,,,,,"(전과 같이, 이 조용한 숲에는 오직 둘 뿐이었다.",
,,,,,,,,(대체 이게 무슨 일인지 알고 싶었다.,
,,,,,,,,"(제대로 두 눈을 맞추고, 그의 입에서 직접 들어야만 했다.",
,,,,,,,,"(우리 사이에, 오해가 꽤 있을 것 같았으니까.",
,S,세레나,,,,,,···우리 통성명 하기로 했잖아.,
,S,세레나,,,,,,네가 직접 듣고 싶다 하지 않았나?,
,S,세레나,,,,,,서로 할 말도 많을 것 같고.,
,A,아드리안,A_default_des,,,,,···.,
,,,,,,,,(아드리안은 땅바닥만을 쳐다볼 뿐이었다.,
,S,세레나,,,,,,"···지금 상황이 아주 좋은 건 아니지만,",
,S,세레나,,,,,,적어도 칼을 맞대는 상황은 아니지 않나?,
,,,,,,,,(나는 물러서고 싶지 않았다.,
,,,,,,,,"(그는 대체 어떤 사람이고, 그때는 왜 날 구했고, 이제는 어떡할 건지.",
,,,,,,,,(오늘 그를 마주친 순간 다 들어야겠다고 마음먹었으니까.,
,,,,,,,,(그가 숨기고 있는 모든 진실을.,
,S,세레나,,,,,,내 이름은 세레나야.,
,,,,,,,,(제국의 성은 붙이지 않았다. ,
,,,,,,,,"(어떤 소속이 아닌, 온전한 나로서 그를 마주하고 싶었기 때문이었다.",
,S,세레나,,,,,,너는?,
,,,,,,,,"(이름을 묻자, 그는 이제야 고개를 들었다.",
,,,,,,,,(조금 서글픈 얼굴이었다.,
