background,Chrt_ID,이름,Chrt_OnF,Event,Sound,BGM,BGM2,Text,비고
,,,,choise2,,,,···억지 부리지 마.,아드리안 호감도 10 상승
,S,세레나,,jump1,,,,비겁한 변명하지 마.,
,S,세레나,,,,,,너는 그냥 날 갖고 놀았던 것밖에 안 돼.,
,,,,,,,,(얼마나 내가 우스웠을까.,
,,,,,,,,(그의 말은 그저 변명같이 들릴 뿐이었다.,
,A,아드리안,A_default_des,,,,,변명이 아니야.,
,A,아드리안,A_default_des,,,,,날 믿어주면 안 돼?,
,,,,jump2,,,,···억지 부리지 마.,
,,,,,,,,(얼마나 내가 우스웠을까.,
,,,,,,,,(그의 말은 그저 변명같이 들릴 뿐이었다.,
,S,세레나,,,,,,"여태 다 거짓된 모습만 봤는데, 그 말을 어떻게 믿어.",
,A,아드리안,A_default_des,,,,,이제 네 앞에서는 솔직해질게.,
,A,아드리안,A_default_des,,,,,"그러니까 제발, 이번 한 번만···.",
,A,아드리안,A_default_des,,,,,믿어줄 수는 없어?,
,,,,end,,,,(그를 믿을 수 있을까?,
,,,,,,,,"(적국의 왕자인 데다가, 타나를 해친 사람일 수도 있는 사람을?",
,,,,,,,,"(하지만, 내가 봐왔던 아드리안의 모습이 ",
,,,,,,,,(계속 겹쳐 보였다.,
,S,세레나,,,,,,"그럼, 그 남자는 누구야? ",
,S,세레나,,,,,,내가 왕자라고 생각했던.,
,A,아드리안,A_default_des,,,,,"내 직속 호위기사, 한스야.",
,A,아드리안,A_default_des,,,,,어릴 적부터 함께 해온 내 친구기도 하고.,
,S,세레나,,,,,,······.,
,A,아드리안,A_default_des,,,,,한스에게 대충 상황은 들었어.,
,A,아드리안,A_default_emb,,,,,···한스가 네 기사를 죽였다고.,
,,,,,,,,(간단한 한마디였다.,
,,,,,,,,(타나가 한스라는 자에게 죽었다는.,
,S,세레나,,,,,,···그냥 기사가 아니었어.,
,S,세레나,,,,,,나를 단장으로 인정해 준 소중한 동료였지.,
,S,세레나,,,,,,"그런데, 나를 지키려다가 죽었어.",
,S,세레나,,,,,,네 기사가 나를 죽이려고 했거든.,
,S,세레나,,,,,,"그러고 보니, 저번까지 두 번이었네.",
,S,세레나,,,,,,네 호위기사에게 칭찬이라도 해줘야겠어. ,
,,,,,,,,(나도 모르게 아드리안과 그의 호위 기사를 조롱했다.,
,,,,,,,,(하지만 미안하다는 생각이 들지는 않았다.,
,,,,,,,,(그저 마음속이 텅 빈 것만 같았다.,
,,,,,,,,"(그리고, 문득 의문점이 생겼다.",
,S,세레나,,,,,,"하지만, 이상해.",
,S,세레나,,,,,,타나가 남긴 증거가 있었어.,
,S,세레나,,,,,,프라타히라 왕국의 직인이 찍힌 펜던트.,
,S,세레나,,,,,,그건 왕족들만 착용할 수 있는 거잖아.,
,S,세레나,,,,,,네 부하라는 자가 그걸 왜 갖고 있었지?,
,,,,,,,,(이 오해가 시작된 지점을 떠올려냈다.,
,A,아드리안,A_default_emb,,,,,···하.,
,,,,,,,,"(아드리안은 한숨을 내쉬며, 머리를 쓸어 넘겼다.",
,A,아드리안,A_default_des,,,,,"제국 측에서 황녀를 내세워, 기사들의 사기를 올렸다는 소식이 들려왔어.",
,A,아드리안,A_default_des,,,,,"그래서 나 또한, 왕국 기사들을 위해 직접 나서게 됐지. ",
,A,아드리안,A_default_des,,,,,"하지만 동굴에서 조난당했을 때, 다친 상처 때문에 전장에 나갈 수 없었어.",
,A,아드리안,A_default_des,,,,,"동맹이었던 아디크 왕국과는 이미 이야기가 된 터라, 빠질 수도 없었고.",
,A,아드리안,A_default_des,,,,,그래서 나 대신 한스를 내보냈던 거였어.,
,A,아드리안,A_default_des,,,,,아디크 왕국 기사들 대부분은 나를 알지 못할 테니까.,
,A,아드리안,A_default_des,,,,,제국인들도 마찬가지고.,
,A,아드리안,A_default_des,,,,,"아마 네가 본 펜던트는, 내 행세를 하기 위해 한스가 착용했던 걸 거야.",
,,,,,,,,"(확실히 그의 말대로라면, 모든 퍼즐이 맞춰진다.",
,,,,,,,,"(하지만, 그렇다고 해서 타나가 죽은 게 달라지지는 않았다.",
,,,,,,,,"(아드리안이 적국의 왕족이며, 타나를 죽인 이의 측근인 것도.",
,,,,,,,,"(나는 지금, 무엇을 하고 싶은 걸까?",
,,,,,,,,"(진실을 알아도 달라지는 건 없는데, 왜 이토록 필사적이었던 걸까.",
,,,,,,,,(그리고 아드리안 또한 왜 내게 필사적으로 구는 걸까.,
,S,세레나,,,,,,아드리안.,
,S,세레나,,,,,,마지막으로 묻고 싶은 게 있어.,
,S,세레나,,,,,,이 대답에 앞으로의 우리 관계가 달려 있을지도 몰라.,
,S,세레나,,,,,,그러니까 신중하게 답해.,
,S,세레나,,,,,,"왜 나를 도와주고, 살려준 거야? 황녀라는 것을 안 이후에도 그렇고.",
,A,아드리안,A_default_des,,,,,그때 말했잖아.,
,A,아드리안,A_default_emb,,,,,나도 모르겠다고···.,
,,,,,,,,"(그는 인상을 찌푸리며, 내 대답에 회피했다.",
,,,,,,,,"(하지만, 나는 그의 대답을 들어야만 했다.",
,,,,menu,,,,"(그래야만, 내가 무엇을 하고 싶은지 알 수 있을 테니까.",
,,,,choise1,,,,"그렇다면, 우리는 여기서 끝이야.",아드리안 호감도 0 상승
,,,,choise2,,,,"아니, 너는 알고 있을 거야.",아드리안 호감도 10 상승
,S,세레나,,jump1,,,,"그렇다면, 우리는 여기서 끝이야.",
,,,,,,,,(그를 도발했다. 제발 잡아주기를 바라면서.,
,,,,,,,,"(그리고, 계획대로 그는 나를 불러세웠다.",
,A,아드리안,A_default_des,,,,,널 지켜주고 싶었어. 네가 죽지 않았으면 했어.,
,A,아드리안,A_default_des,,,,,"그리고, 네가 보고 싶었어.",
,A,아드리안,A_default_des,,,,,"쓸데없는 고집을 부리던 너도,",
,A,아드리안,A_default_des,,,,,"나를 치료해 주던 너도,",
,A,아드리안,A_default_des,,,,,살아남으려 하는 너의 눈빛도.,
,A,아드리안,A_default_des,,,,,전부 잊히지가 않아서.,
,,,,,,,,(그는 열렬하고도 애절한 눈빛으로 나를 바라보고 있었다.,
,,,,,,,,(이게 그의 대답이었다.,
,A,아드리안,A_default_emb,,,,,···이걸로는 안 돼?,
,A,아드리안,A_default_emb,,,,,"나, 지금 힘들게 용기 낸 거야.",
,,,,,,,,(그의 마음이 무겁게 다가왔다.,
,,,,,,,,(아드리안의 마음이 싫지 않아서 문제였다.,
,,,,,,,,"(하지만 그의 얼굴을 볼 때마다, 타나를 지워낼 수가 없었다.",
,S,세레나,,,,,,나는 타나에게 자유를 줘야만 해.,
,S,세레나,,,,,,그걸 위해서는 복수밖에 없어···.,
,S,세레나,,jump2,,,,"아니, 너는 알고 있을 거야.",
,,,,,,,,(알아야만 해.,
,,,,,,,,(너와 내가 이러고 있는 이유를.,
,S,세레나,A_default_emb,,,,,"솔직해지자, 우리.",
,A,아드리안,A_default_des,,,,,······.,
,A,아드리안,A_default_des,,,,,널 지켜주고 싶었어. 네가 죽지 않았으면 했어.,
,A,아드리안,A_default_des,,,,,"그리고, 네가 보고 싶었어.",
,A,아드리안,A_default_des,,,,,"쓸데없는 고집을 부리던 너도,",
,A,아드리안,A_default_des,,,,,"나를 치료해 주던 너도,",
,A,아드리안,A_default_des,,,,,살아남으려하는 너의 눈빛도.,
,A,아드리안,A_default_des,,,,,전부 잊히지가 않아서.,
,,,,,,,,(그는 열렬하고도 애절한 눈빛으로 나를 바라보고 있었다.,
,,,,,,,,(푸른 파도 같은 눈빛에 휩쓸릴 것만 같았다.,
,A,아드리안,A_default_emb,,,,,···이걸로는 안 돼?,
,,,,,,,,(그가 내 손을 가져갔다.,
,,,,,,,,(그리고서는 짧게 입을 맞췄다.,
,A,아드리안,A_default_emb,,,,,"나, 지금 힘들게 용기 낸 거야.",
,,,,,,,,(그의 마음이 무겁게 다가왔다.,
,,,,,,,,(하지만 내 마음 또한 무거웠다.,
,S,세레나,,,,,,·····.,
,,,,,,,,"(내가 대답하지 않자, 그가 천천히 내게 다가오고 있었다.",
,,,,,,,,(입을 맞추려는 듯했다.,
,,,,,,,,"(나는 손을 뿌리치고, 한발 물러섰다.",
,,,,,,,,"(아드리안의 마음이 싫지 않았다. 하지만, 문제가 있었다.",
,,,,,,,,"(그의 얼굴을 볼 때마다, 타나를 지워낼 수가 없었다.",
,S,세레나,,,,,,나는 타나에게 자유를 줘야만 해.,
,S,세레나,,,,,,그걸 위해서는 복수밖에 없어···.,
,A,아드리안,A_default_emb,end,,,,"아니, 아니야···.",
,A,아드리안,A_default_emb,,,,,"미안해, 내 사람이 네 사람을 해친 것도.",
,A,아드리안,A_default_emb,,,,,"너에게 정체를 속여왔던 것도, 모두 다.",
,,,,,,,,"(그는 고개를 푹 숙이고서는, 내 손을 슬며시 잡았다.",
,A,아드리안,A_default_des,,,,,"지금부터 하는 이야기는 내 기사를 위해서도, 네 기사를 위해서도 아니야.",
,A,아드리안,A_default_des,,,,,"우리 모두를 위한 거니까, 들어.",
,A,아드리안,A_default_des,,,,,"아니, 들어줘.",
,A,아드리안,A_default_des,,,,,전쟁은 전쟁.,
,A,아드리안,A_default_des,,,,,어쩔 수 없는 일이었어.,
,A,아드리안,A_default_des,,,,,"상대방을 죽이지 않으면, 내가 살아남을 수 없는 곳이라는 거.",
,A,아드리안,A_default_des,,,,,너도 잘 알고 있을 거 아니야.,
,,,,,,,,(사실은 전쟁에서 죽음은 피할 수 없는 운명이라는 것쯤은 알고 있었다.,
,,,,,,,,(그럼에도 나는 타나의 죽음을 인정하고 싶지 않았다.,
,,,,,,,,(나의 무력함에 대한 현실감과 죄책감이 몰려왔었기 때문에.,
,,,,,,,,"(결국 나는 타나를 위한 복수와 분노가 아니라,",
,,,,,,,,(나를 향한 복수와 분노를 하고 있었던 거였다.,
,,,,,,,,(아드리안이 숙였던 고개를 들었다.,
,A,아드리안,A_default_des,,,,,"내가 이런 말 하는 거, 주제넘은 거 알지만",
,A,아드리안,A_default_des,,,,,네 기사의 자유를 위해 해줄 수 있는 게 있을 거야.,
,A,아드리안,A_default_def,,,,,오직 너만이 할 수 있는.,
,,,,,,,,(아까와는 상황이 역전됐다.,
,,,,,,,,(지금은 오히려 아드리안이 내게 대답을 종용하고 있었다.,
,,,,,,,,"(하지만, 이 대답을 할 수만 있다면 모든 게 해결될 것 같았다.",
,S,세레나,,,,,,나만이 할 수 있는···.,
,,,,,,,,(전부터 계속 목표 삼아왔지 않았던가.,
,,,,,,,,(제국을 개혁하는 것.,
,,,,,,,,"(타나가 원하던 것은,",
,,,,,,,,"(그녀를 나에게서 놓아줄 수 있는 것은 복수와 분노가 아니라, 평화와 안식이다.",
,S,세레나,,,,,,"나, 제국을 개혁할 거야.",
,S,세레나,,,,,,무분별한 전쟁과 제국민들에 대한 탄압을 멈추고 싶었거든.,
,S,세레나,,,,,,이게 타나를 자유롭게 할 수 있는 나만의 방법이야.,
,S,세레나,,,,,,"아니, 모두를 자유롭게 할 수 있겠지.",
,A,아드리안,A_default_emb,,,,,···!,
,S,세레나,,,,,,꽤 오래전부터 계획해 왔어.,
,S,세레나,,,,,,"지금은, 네가 말해준 '타나의 자유'와 함께 불이 지펴진 것뿐이고.",
,,,,,,,,(나는 그에게 모든 사실을 털어놓기로 했다.,
,,,,,,,,(지금은 나도 솔직해져야 할 시간이니까.,
,S,세레나,,,,,,"사실, 나는 제국의 사생아야.",
,S,세레나,,,,,,"별로 좋은 대접 못 받고 자라왔고, 이렇게 전쟁에 나와 있는 이유도 도구로서 끌려와 있는 거야.",
,S,세레나,,,,,,하지만 덕분에 알게 됐지. 이 전쟁의 참혹함과 황실의 무능함을.,
,S,세레나,,,,,,···이런 나를 도와줄 수 있어?,
,S,세레나,,,,,,"너희 프라타히라 왕국이 도와준다면, 대륙의 미래가 바뀔 거야.",
,A,아드리안,A_default_emb,,,,,"···만약, 실패한다면?",
,A,아드리안,A_default_des,,,,,나한테는 왕국민의 미래가 달린 일이야.,
,S,세레나,,,,,,절대 실패 같은 거 안 해.,
,,,,,,,,(이젠 흐트러지지 않을 자신이 있었다.,
,,,,,,,,(타나를 위한 답을 찾은 것 마침내 찾았으니까.,
,A,아드리안,A-default_smi,,,,,···하! ,
,A,아드리안,A-default_smi,,,,,"그래, 그렇게 하자. 우리가 너를 도울게.",
,A,아드리안,A-default_smi,,,,,"실패 없는 일에 끼지 않는 건, 말이 안 되니까.",
,A,아드리안,A-default_def,,,,,"그 대신, 약속해 줘. ",
,A,아드리안,A-default_def,,,,,왕국에 평화를 가져와 주겠다고 말이야.,
,S,세레나,,,,,,당연하지. 약속할게.,
,,,,,,adrian1,,(그가 옅은 미소를 지었다.,
,,,,,,,,(길었던 긴장감이 해소되었다.,
,,,,,,,,"(내가 하고 싶었던 건, 이런 거였던 것 같다.",
,A,아드리안,A-default_def,,,,,"그나저나, 동굴에서는 정말 몰랐어.",
,A,아드리안,A-default_def,,,,,네가 제국의 황녀일 줄은.,
,A,아드리안,A-default_def,,,,,그런 곳에 제국의 황녀가 있을 줄 누가 알았겠냐고.,
,A,아드리안,A-default_def,,,,,인상착의도 평범했었고.,
,S,세레나,,,,,,하! 그건 나도 마찬가지였거든.,
,S,세레나,,,,,,"옷을 다 벗으라고 하질 않나, 자기한테 붙으라고 하질 않나.",
,S,세레나,,,,,,"완전 저질이었지, 너.",
,A,아드리안,A-default_desR,,,,,야! 그때는 어쩔 수 없었잖아.,
,A,아드리안,A-default_def,,,,,"너야말로 고집부리고, 얼굴 붉히고 난리였지.",
,S,세레나,,,,,,추워서 그런 거였어! 추워서···.,
,S,세레나,,,,,,"진짜 쪼잔하게 구네, 참.",
,A,아드리안,A-default_ang,,,,,쪼잔?,
,S,세레나,,,,,,"쪼잔하다고, 너.",
,A,아드리안,A-default_ang,,,,,이게 진짜···!,
,S,세레나,,,,,,"뭐 어쩌게, 한 대 쥐어박겠다?",
,A,아드리안,A-default_ang,,,,,내가 너한테 왜 손을 대냐?,
,A,아드리안,A-default_ang,,,,,"됐다, 됐어. 좀 더 성숙한 내가 참아야지.",
,S,세레나,,,,,,···하! ,
,,,,,,,,"(우리는 첫 만남의 이야기를 꺼내며, 분위기를 풀어갔다.",
,,,,,,,,"(유치했지만, 저절로 미소가 나왔다.",
,,,,,,,,"(이 순간만큼은, 우리의 뒤에 달린 수식어들을 신경 쓰지 않은 것 같았다.",
,A,아드리안,A-default_smi,,,,,"···아무튼, 앞으로 잘해보자.",
,S,세레나,,,,,,"응, 그래야지.",
,,,,,,comfort7,,"(나는 그와 다짐을 한 후에, 다시 회담을 위한 장소로 향했다.",
,,,,,,,,(그러고는 제국 기사단에게 전했다.,
Camp_in,S,세레나,,,,,,회담 시작하겠습니다. ,막사 외부 or 조금 다른 막사 내부
,S,세레나,,,,,,"프라타히라 측의 요청으로, 최소한의 인원만으로 진행하도록 하겠습니다.",
,,,,,,,,(나는 헤안만을 회담으로 끌어들였다.,
,,,,,,,,"(왕국을 동맹으로 만들기 위해, 아드리안과 합의한 내용들이었다.",
,,,,,,,,"(그때, 누군가 내 앞을 가로막아 섰다.",
,E,에런,E_default_des,,,,,···위험합니다.,
,S,세레나,,,,,,여기서 누가 가장 위험한지는 본인이 가장 잘 아실거라고 생각합니다.,
,S,세레나,,,,,,저희가 왕국과 손을 잡을까 봐 걱정이라면···.,
,S,세레나,,,,,,아시지 않습니까? 왕국과 우리 기사단은 이미 여러 번 전투를 치른 것을요.,
,S,세레나,,,,,,"제게 있어서, 오늘의 적은 내일도 적입니다.",
,E,에런,E_default_des,,,,,······.,
,,,,,,,,(나는 처음으로 스승님에게 거짓말을 했다.,
,,,,,,,,(아드리안 또한 스승님과의 대화에 끼어들었다.,
,A,아드리안,A_default_def,,,,,난 최소한의 인원만 원해서.,
,A,아드리안,A_default_def,,,,,"갑작스러운 휴전 요청도 당황스러운데, 이 정도는 가능하겠지?",
,A,아드리안,A_default_def,,,,,"안 그런가, 제국인?",
,E,에런,E_default_emb,,,,,···알겠습니다.,
,,,,,,,,"(스승님은 어두운 얼굴로, 자리를 떠났다.",
,A,아드리안,A_default_def,,,,,저 사람이 손수건의 주인인가?,
,,,,,,,,"(아드리안은 그가 떠나자마자, 곤란한 질문을 던졌다.",
,,,,,,,,(쓸데없이 눈치가 빨랐다.,
,S,세레나,,,,,,···아마?,
,A,아드리안,A_default_def,,,,,그건 대답이라고 할 수 없지 않냐?,
,S,세레나,,,,,,"뭐, 문제가 되나?",
,,,,,,,,"(나는 그와 시시콜콜한 농담을 주고받으며, 회담 준비에 나섰다.",
,,,,,,,,"(결과적으로, 아드리안 덕분에 프라타히라 왕국과의 회담을 우호적으로 끝낼 수 있었다.",
,,,,,,,,(왕국 측을 설득하기 위해서는 나와 헤안의 계획을 밝혀야만 했다.,
,,,,,,,,"(그들은 우리의 계획에 놀란 듯했지만, 내가 사생아라는 사실을 알리자 쉽게 납득했다.",
,,,,,,,,"(물론, 제국의 황실에는 휴전 협정에 성공했다는 내용만을 미리 실어 보냈다. ",
,,,,,,,,"(이후에는 예정대로, 황제의 죽음을 애도하기 위해 황궁으로 복귀하기로 했다.",
,S,세레나,,,,,,···드디어 다시 돌아가는구나.,
,S,세레나,,,,,,쫓겨나듯 떠나야만 했던 황궁에.,
,,,,,,,,(사색에 잠긴 내게 아드리안이 다가왔다.,
,A,아드리안,A_default_def,,,,,다음에 보자.,
,A,아드리안,A_default_smi,,,,,그때는 확실한 아군으로 말이야.,
,S,세레나,,,,,,응.,
,,,,,,,,(이전과는 확실히 달라졌다.,
,,,,,,,,"(이제는 내 모든 것을 걸고, 싸워야 할 때다.",
,,,,,,,,(나와 함께 거닐어 주고 있는 이들을 위해서라도.,
black,,,,,,,,,검은 화면
,,,,,,ptsd,,"(사흘을 쉬지 않고 이동해, 수도에 위치한 황궁에 도착했다.",
,,,,,,,,(수도의 제국민 몇몇은 우리를 반기기도 했다.,
,,,,,,,,(황궁은 정반대였지만.,
,,,,,,,,(그 누구도 전장에서 돌아온 우리를 마중 나오지도 않았다.,
,,,,,,,,"(애초에 황제가 서거한 후였으니, 이 정도는 예상했다.",
,,,,,,,,"(나는 황궁에 도착하자마자, 기사단을 해체하여 당분간은 휴식을 취하도록 했다.",
Kingdom_garden,H,헤안,H_default_des,,,,,푹 쉬셔야 합니다.,황궁 정원배경
,H,헤안,H_default_des,,,,,괜히 움직이지 마시고요.,
,S,세레나,,,,,,"네, 그렇고 말고요. 헤안 말 들어야죠.",
,,,,,,,,(헤안은 나를 의심 가득한 눈초리로 쳐다봤다.,
,,,,,,,,(여태의 전적이 그를 불안하게 하는 모양이었다.,
,S,세레나,,,,,,"난 걱정 말고, 헤안도 당분간은 쉬세요.",
,H,헤안,H_default_des,,,,,알겠습니다. ,
,H,헤안,H_default_des,,,,,필요한 일 있으시면 부르십시오.,
,,,,,,,,(그가 말하는 '필요한 일'이라는 것에는 큰 의미가 있어 보였다.,
,,,,,,,,"(그렇게, 헤안이 자리를 떠났다.",
,S,세레나,,,,,,···휴.,
,S,세레나,,,,,,"모두, 오랜만에 누릴 수 있는 온전한 휴식이겠네.",
,,,,,,,,"(황궁에 들어선 후부터, 환청을 듣기 시작한 나를 제외하고서 말이다.",
,???,???,,white,,,,···제국을 구원하라.,
