background,Chrt_ID,이름,Chrt_Pos,Event,sound,BGM,BGM2,Text,비고
,E,에런,E_default_def,,,-,,모든 게 전부 끝이구나.,
,,,,,,,,(나는 에런 스승님 곁으로 천천히 걸어갔다. ,
,S,세레나,,,,,,"황후를 처형한 것도 저희에겐 큰 일이지만,",
,S,세레나,,,,,,그 전에 제게 하실 말씀이 있지 않습니까?,
,,,,,,,,(나는 스승님을 응시하며 말했다.,
,E,에런,E_default_emb,,,,,"···미안하다, 세레나.",
,S,세레나,,,,,,왜 저를 믿지 못하신 거죠?,
,E,에런,E_default_des,,,,,너를 믿지 못한 게 아니야. ,
,E,에런,E_default_des,,,,,세레나가 제국을 개혁하기로 결심하기 한참 전부터 나는 이미 황후와 손을 잡은 상태였어.,
,S,세레나,,,,,,그 얘긴 나중에 자세히 듣도록 하죠.,
,S,세레나,,,,,,"황후도 죽은 이상, 당신이 할 수 있는 건 없을 겁니다.",
,S,세레나,,,,,,무슨 뜻인지 아시겠죠?,
,E,에런,E_default_des,,,,,"···응, 당연하지.",
,S,세레나,,,,,,"네, 알겠습니다. 스승님.",
,S,세레나,,,,,,"아니, 에런 스노우.",
,,,,,,,,"(나는 마지막 말을 끝으로, 고개를 돌려 모두에게 외쳤다.",
,S,세레나,,,,,,다들 멈춰!,
,S,세레나,,,,,,"반역자 에런은 황위를 포기했고, 황후는 죽었다.",
,S,세레나,,,,,,"그러니, 이 이상의 전투는 허락하지 않겠다.",
,,,,,,,,(황후의 지원군과 기사단은 칼을 내려놓기 시작했다.,
,H,헤안,H_default_smi,,,,,이젠 정말 끝이네요.,
,S,세레나,,,,,,헤안···.,
,,,,,,,,"(헤안과 이 끝을 함께 맞이하는 건, 뜻깊은 일이었다.",
,,,,,,,,"(기사단장이 되고, 전쟁에 차출될 때부터 쭉 함께였던 그니까.",
,S,세레나,,,,,,"오래 걸렸죠? 아닌가, 생각보다는 앞선 것 같기도 하고.",
,H,헤안,H_default_smi,,,,,기간이 뭐가 중요합니까.,
,H,헤안,H_default_smi,,,,,세레나님께서 해냈다는 게 중요한 겁니다.,
,S,세레나,,,,,,그렇네요.,
,,,,,,,,(나는 옅게 웃었다.,
,,,,,,,,(그때 아드리안이 다가왔다.,
,,,,,,,,"(녹스 또한 상황이 정리된 것을 보고, 황궁 외곽 결계로부터 내려왔다.",
,S,세레나,,,,,,"아드리안, 고마워. 덕분에 무사히 이 전쟁을 마칠 수 있었어.",
,A,아드리안,A_default_smi,,,,,별말씀을.,
,A,아드리안,A_default_smi,,,,,"나는 이제 왕국으로 돌아가서, 이 소식을 알려야겠네.",
,S,세레나,,,,,,"응, 왕국 건에 대해서는 내가 정식으로 찾아갈게.",
,S,세레나,,,,,,녹스도 매번 도와줘서 고마워.,
,N,녹스,N_default_smi,,,,,"일이었는데, 뭐.",
,N,녹스,N_default_smi,,,,,"제국 일도 끝났겠다, 이제 마탑을 확실히 매듭지어야겠어.",
,S,세레나,,,,,,"그래, 너도 원하는 걸 꼭 이뤘으면 좋겠네.",
,,,,,,,,"(나는 어찌 되었든, 황후의 사람들도 치유해 줬다.",
,,,,,,,,"(그들 또한 나와 같은 충실한 황실의 개였고, 황후의 말을 들어야 했을 테니.",
,,,,,,,,"(가장 중요한 건, 그들도 제국인이라는 거였다.",
,,,,,,,,(그래서 그들을 처단하는 것보다는 징계를 내리는 것이 옳다고 생각했다.,
,,,,,,,,(그리고 스승님이 천천히 걸어와 내게 말을 건넸다.,
,E,에런,E_default_des,,,,,어떤 말을 해도 용서되지 않을 거란 걸 알아.,
,E,에런,E_default_des,,,,,"미안해, 세레나. 진심이야.",
,S,세레나,,,,,,스승님의 처분에 대해서는 생각해 보겠습니다.,
,S,세레나,,,,,,···이 모든 일이 끝나고 다시 뵙도록 하죠.,
black,,,,,,,,"(그렇게 황궁의 불은 사그라들었고,",검은 화면
,,,,,,,,(나는 황후의 목을 성문 앞에 내걸었다.,
,,,,,,,,(그리고 제국민 앞에서 선언했다. ,
,,,,,,,,(제국의 미래에 전쟁과 황실의 횡포는 없을 것이라고,
,,,,,,,,(모든 게 끝난 이후에는 바빴다.,
,,,,,,,,(사실상 끝난 게 없었다. 제국은 이제부터 시작이었으니까.,
Noble_bed_yellow_day,,,,,,,,,남는 방안 배경 (집무실?)
,,,,,,,,"(전쟁이 끝난 직후, 스승님은 감옥에 갇혔다.",
,,,,,,,,"(아무리 나를 위해 한 행동이라고 한들, 반역의 행위는 명백했기 때문이다.",
,,,,,,,,"(하지만, 계속 감옥에 가둬둘 수도 없는 노릇이었다. ",
,,,,,,,,(결국 헤안과 논의 끝에 제국의 변방 마을로 그를 추방하기로 했다.,
,,,,,,,,(에런 스노우에겐 마땅한 벌이 필요했기 때문이다.,
,,,,,knock,ereon3,,(똑똑―,문 두드리는 소리
,S,세레나,,,,,,누구지?,
,H,헤안,H_default_def,,,,,헤안입니다. ,
,S,세레나,,,,,,들어오도록.,
,H,헤안,H_default_def,,,,,"제국의 하나뿐인 태양, 황제 폐하를 뵙습니다. ",
,,,,,,,,"(황후가 죽고, 에스탈 제국의 황제가 된 나는, 바쁜 일상을 보내고 있었다.",
,,,,,,,,"(전쟁 이후의 일을 돌봐야 했으며, 왕국과 협정을 맺을 건도 많았다.",
,,,,,,,,(도저히 혼자서는 할 수 없을 것 같아 헤안에게 도움을 요청했다.,
,,,,,,,,(그는 내 옆에서 머물며 황실 업무를 충실히 도와주고 있었다.,
,S,세레나,,,,,,어떤 일로 온 거지?,
,H,헤안,H_default_def,,,,,그 다름이 아니라.,
,H,헤안,H_default_def,,,,,···오늘 일정이 비어있으니 찾아가 보심이 어떠십니까?,
,,,,,,,,(순간 들고 있던 펜을 떨어뜨렸다.,
,S,세레나,,,,,,"됐어, 지금 해야 할 업무도 많아.",
,S,세레나,,,,,,고작 반역자의 얼굴 하나 보겠다고 이 일을 내팽개칠 수는 없어.,
,H,헤안,H_default_des,,,,,······.,
,H,헤안,H_default_def,,,,,사실은 보고 싶지 않으십니까?,
,H,헤안,H_default_def,,,,,"그냥 다녀오십시오, 오늘은 시간이 많습니다.",
,S,세레나,,,,,,헤안!,
,H,헤안,H_default_def,,,,,······.,
,H,헤안,H_default_def,,,,,"한 번 반역을 저질렀던 사람이, 또 저지르지 않으리란 법도 없지 않습니까?",
,H,헤안,H_default_def,,,,,"변방의 마을이라면, 제국을 향해 적대적인 시선을 가진 사람도 많을 터.",
,H,헤안,H_default_def,,,,,제국의 황제로서 다녀오셔야 한다고 생각합니다.,
,S,세레나,,,,,,······.,
,H,헤안,H_default_def,,,,,제국을 위한 행동일 뿐입니다.,
,S,세레나,,,,,,···틀린 말은 아니야.,
,H,헤안,H_default_def,,,,,찾아가시겠습니까?,
,S,세레나,,,,,,헤안의 말도 일리가 있어.,
,S,세레나,,,,,,"대신 빠르게 다녀올게, 그러니 미안하지만···.",
,H,헤안,H_default_def,,,,,당분간 제가 업무를 보고 있겠습니다.,
,H,헤안,H_default_smi,,,,,"걱정하지 마시고, 마음 편히 다녀오세요.",
,S,세레나,,,,,,"고마워, 헤안.",
,H,헤안,H_default_smi,,,,,전 당신의 일이라면 거절할 수 없으니까요···.,
,,,,,,,,(나는 헤안에게 인사를 건넸다.,
,,,,,,,,(그리고 곧바로 말을 타고 스승님이 있는 곳으로 향했다.,
,,,,,,,,(가슴이 무거워지기 시작했다.,
Village_day,,,,,,ereon1,,(스승님이 계신다고 알려준 도시에 가까워질수록 평화로운 분위기가 느껴졌다.,
,,,,,,,,"(제국의 수도와 달리, 푸르고 향기로운 녹색의 이미지가 마음을 고요하게 했다.",
,,,,,,,,(저 멀리서 아이들의 웃음소리가 들렸다.,
,,,,,,,,(나는 그쪽으로 걸음을 옮겼다.,
,마을 아이1,마을 아이1,Villager_child1,,,,,선생님!,
,마을 아이1,마을 아이1,Villager_child1,,,,,이 꽃의 이름은 뭐예요?,
,E,에런,E_default_smi,,,,,이 꽃은 튤립이에요. 제국에서 흔하게 볼 수 있는 꽃이죠.,
,마을 아이1,마을 아이1,Villager_child1,,,,,"하지만, 튤립은 빨간색 아닌가요?",
,마을 아이2,마을 아이2,Villager_child2,,,,,"맞아요, 하지만 이 꽃은 하얀색인걸요?",
,E,에런,E_default_smi,,,,,···하얀색. 아마 돌연변이일 겁니다.,
,E,에런,E_default_smi,,,,,"비록 우리가 알고 있는 색은 아니지만, 아름답지 않나요?",
,마을 아이2,마을 아이2,Villager_child2,,,,,돌연변이는 나쁜 거 아닌가요?,
,E,에런,E_default_smi,,,,,무작정 나쁘다고 볼 수는 없습니다.,
,E,에런,E_default_smi,,,,,돌연변이 중에서 때론 아름다운 것이 탄생하기도 하거든요.,
,E,에런,E_default_smi,,,,,마치 이 하얀색 튤립처럼요.,
,마을 아이1,마을 아이1,Villager_child1,,,,,그러네요!,
,,,,,,,,(선생님이라고 불리는 저 사람의 정체는,
,,,,,,,,"(에런 스노우, 스승님이었다.",
,S,세레나,,,,,,"대체, 왜 여기서···.",
,,,,,,,,"(나는 아이들이 사라질 때까지 기회를 노리고, 몸을 숨겼다.",
,,,,,,,,"(시간이 지나자, 지친 아이들은 물을 마시기 위해 자리를 옮겼다.",
,,,,,footstep_grass,,,(혼자 남겨진 스승님 앞에 나는 천천히 앞으로 걸어갔다.,발소리
,S,세레나,,,,,,"오랜만이네요, 스승님.",
,S,세레나,,,,,,그동안 잘 지내고 계셨습니까?,
,E,에런,E_default_emb,,,,,"세, 세레나···.",
,E,에런,E_default_emb,,,,,"아니, 에프탈 제국의 하나뿐인 태양 황제 폐하를 뵙습니다.",
,,,,,,,,"(마지막으로 만났을 땐 당신의 제자였던 내가,",
,,,,,,,,(이젠 이 제국의 황제가 되었습니다.,
,,,,,,,,(스승님은 어떤 생각을 하고 계실까.,
,S,세레나,,,,,,"···쓸데없는 인사치레는 그만하고, 자리를 옮길까요?",
,E,에런,E_default_des,,,,,저는 할 말 없습니다. 돌아가 주세요.,
,S,세레나,,,,,,에런!,
,,,,,,,,(내 말에도 스승님은 꿈쩍하지 않았다.,
,,,,,,,,"(결국, 나는···.",
,S,세레나,,,,,,명령입니다.,
,S,세레나,,,,,,당장 저를 따라오세요.,
,,,,,,,,(가장 하고 싶지 않은 방법을 쓰고 말았다.,
,,,,,,,,"(황후로서의 명령이었다. 스승님은 결국 거절하지 못하고, 내 뒤를 따라왔다.",
rim,,,,,,,,,집 실내
,S,세레나,,,,,,그렇게 제 얼굴이 보기 싫으십니까?,
,E,에런,E_default_des,,,,,···그렇지 않습니다.,
,S,세레나,,,,,,그렇다면 어째서 저를 피하시는 겁니까?,
,E,에런,E_default_des,,,,,······.,
,,,,,,,,(스승님은 대답하지 않았다.,
,,,,,,,,"(그토록 보고 싶었던 사람을 두고도, 복잡한 마음은 해소되지 않았다.",
,,,,,,,,(화가 났다.,
,,,,,,,,"(하지만, 감정보단 눈물이 먼저 흘러내렸다.",
,S,세레나,,,,,,"정말, 너무하십니다···.",
,S,세레나,,,,,,이젠 제가 보기 싫을 정도로 미워지신 겁니까?,
,,,,,,,,(결국 참아왔던 울분을 토해냈다.,
,S,세레나,,,,,,원망스러웠습니다. 그리고 궁금했습니다.,
,S,세레나,,,,,,"저를 위한다고 했던 그 모든 행동이 정말 진심이긴 했는지, 그때 저를 품으셨던 이유는 무엇인지···.",
,,,,,,,,"(나는 숨을 한 번 내쉬고, 이어 말했다.",
,S,세레나,,,,,,무엇보다 절 오래 보셨으면 아시지 않습니까.,
,S,세레나,,,,,,저는 당신을 미워하지 못합니다.,
,S,세레나,,,,,,"제가, 스승님을 좋아하니까요.",
,,,,,,,,(조금 더 차분하게 말하고 싶었다.,
,,,,,,,,"(그동안의 내 생각과 감정을 정리해서 이것보단 잘 말하고 싶었는데,",
,,,,,,,,(막상 말을 내뱉어보니 눈물과 감정이 혼용되어 그 어떤 말도 제대로 전달하지 못했다.,
,,,,,,,,"(스승님의 표정을 보고 싶었지만, 흐르는 눈물을 감추느라 고개를 들 수 없었다.",
,E,에런,E_default_des,,,,,"그래서, 당신을 떠났습니다.",
,S,세레나,,,,,,···네?,
,E,에런,E_default_des,,,,,세레나는 저를 용서해 줄 테니까요.,
,E,에런,E_default_des,,,,,"하지만, 그동안 당신을 위했다고 한들 세레나에게 거짓말 한 건 변하지 않는 사실이니.",
,E,에런,E_default_des,,,,,스스로가 용서되지 않았습니다.,
,E,에런,E_default_des,,,,,"저는 황후와 계약했습니다. 어릴 적 당신을 도와주었던 대가로, 당신을 살리고 싶다면 자신의 꼭두각시가 되라고 강제했죠.",
,E,에런,E_default_des,,,,,전 세레나를 살리고 싶었습니다.,
,E,에런,E_default_des,,,,,그래서 황후 밑으로 들어갔죠.,
,,,,,,,,(스승님의 말이 맞았다. 나는 어쩌면 에런 스노우란 사람을 쉽게 용서했을지 모른다.,
,,,,,,,,(그렇지만―,
,S,세레나,,,,,,"예전에 저였다면, 당신을 쉽게 용서해 버렸을지도 모르죠.",
,S,세레나,,,,,,"하지만, 이번 일은 달라요.",
,S,세레나,,,,,,"저를 위해서 한 행동이었다고 한들, 그 오랜 시간 저를 속이고 계셨던 것 아닙니까?",
,E,에런,E_default_des,,,,,반박의 여지가 없습니다.,
,S,세레나,,,,,,고민했습니다.,
,S,세레나,,,,,,스승님을 이대로 용서해도 되는 게 맞을지.,
,S,세레나,,,,,,"그런데 본인조차도 자신을 용서하지 못하겠다고 말하는 사람을,",
,S,세레나,,,,,,제가 용서하는 게 과연 맞을까요?,
,E,에런,E_default_des,,,,,저의 처분은 온전히 당신께 달려있습니다.,
,E,에런,E_default_des,,,,,어떤 벌이든 달게 받겠습니다.,
,E,에런,E_default_des,,,,,감히 용서해달라는 말은 하지 않겠습니다.,
,S,세레나,,,,,,"네, 그래서 전 당신을 용서하지 않으려 합니다.",
,S,세레나,,,,,,이곳에서 그동안의 잘못을 낱낱 반성하도록 하세요.,
,E,에런,E_default_des,,,,,······.,
,E,에런,E_default_des,,,,,"알겠습니다, 폐하.",
,S,세레나,,,,,,"다만,",
,E,에런,E_default_emb,,,,,?,
,S,세레나,,,,,,제가 매주 이곳에 내려오겠습니다.,
,S,세레나,,,,,,"당신이 잘못을 잘 뉘우치고 있는지,",
,S,세레나,,,,,,"잠은 잘 자는지, 밥은 잘 먹는지, 혹시라도 아픈 곳은 없는지.",
,E,에런,E_default_emb,,,,,세레나···!,
,S,세레나,,,,,,죄책감에 시달리며 이 골방에 있으란 말이 아닙니다.,
,S,세레나,,,,,,온남은 기간 동안 참회의 시간을 가지세요.,
CG_E_ending,S,세레나,,,,,,그리고 그 시간만큼은 온전히 저만 생각해 주셔야 합니다.,일러스트
,S,세레나,,,,,,이것이 제가 당신에게 내리는 제 벌입니다.,
,,,,,,,,(에런은 설명하기 어려운 복잡한 감정을 느꼈다.,
,,,,,,,,(자신을 용서하지 않겠다는 그녀의 말에서 어째선지 사랑이 느껴졌다.,
,,,,,,,,"(이곳에 추방되어 있는 기간 동안 에런이 할 수 있는 일이라곤,",
,,,,,,,,(오직 자신의 생사를 확인하러 오는 세레나를 기다리는 것뿐이었으니. ,
,,,,,,,,(제 인생의 전부가 세레나가 된 꼴이었다.,
,S,세레나,,,,,,"스승님, 전 당신을 사랑합니다.",
,S,세레나,,,,,,그리고 당신도 저를 사랑하고 있다는 사실을 알고 있습니다.,
,S,세레나,,,,,,"하지만, 벌은 달게 받으셔야 합니다.",
,S,세레나,,,,,,"제가 당신을 온전히 사랑하기 위해선, 그 죗값을 완전히 사해야 하니까요",
,S,세레나,,,,,,기다리겠습니다. 당신이 죄로부터 자유로워질 때까지.,
,,,,,,,,(에런의 얼굴에서 눈물이 흘렀다.,
,S,세레나,,,,,,저는 당신을 떠나지 않으니까요.,
,E,에런,E_default_smiR,,,,,"···명을 받들겠습니다, 황후 폐하.",
,,,,,,,,(에런은 세레나의 손을 잡으며 고개를 숙였다.,
,,,,,,,,(그것은 그녀를 향한 '경외'의 표현이었다.,
,,,,,,,,(이 둘의 사랑을 이해할 수 있는 건 제국에 단둘뿐일 것이 분명했다.,
