background,Chrt_ID,이름,Chrt_Pos,Event,sound,BGM,BGM2,Text,비고
,황후 카일리,황후 카일리,Q_default_bad,,,,,"쯧, 쓸데없는 짓을.",
,E,에런,E_default_def,,,,,······.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"여하튼, 전쟁에서 잘 돌아왔구나.",
,황후 카일리,황후 카일리,Q_default_def,,,,,당연한 건가? 내가 다 귀띔을 해주었으니.,
,E,에런,E_default_def,,,,,···그렇습니다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,재미없긴.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"그나저나, 너도 눈치챘겠지?",
,황후 카일리,황후 카일리,Q_default_def,,,,,이미 우리의 계획이 시작되었다는 것을.,
,E,에런,E_default_def,,,,,"예, 다음은 무엇을 하면 됩니까?",
,,,,,,,,"(에런은 입술을 짓이기며, 진절머리가 난다는 듯한 표정을 지었다.",
,황후 카일리,황후 카일리,Q_default_def,,,,,간단해.,
,황후 카일리,황후 카일리,Q_default_smi,,,,,황태자를 죽이면 된단다. 지금 당장.,
,E,에런,E_default_emb,,,,,···!,
,E,에런,E_default_emb,,,,,제가··· 말입니까?,
,E,에런,E_default_des,,,,,황후께서 황위를 이어야 하시지 않습니까.,
,E,에런,E_default_des,,,,,그러니 직접 처리하시는 편이···.,
,황후 카일리,황후 카일리,Q_default_lah,shake,,,,푸하핫!,화면 흔들립
,,,,,,,,(황후는 알현실이 울릴 만큼 큰 웃음을 냈다.,
,황후 카일리,황후 카일리,Q_default_smi,,,,,"순진하긴, 나는 황제가 되고 싶은 게 아니란다.",
,황후 카일리,황후 카일리,Q_default_def,,,,,고리타분한 직위 따위는 내 쪽에서 사양이야.,
,황후 카일리,황후 카일리,Q_default_def,,,,,그저 황실을 모조리 뭉개버리는 걸로도 만족해. 어차피 귀찮은 일 따위 하고 싶지도 않고 말이야.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"하지만, 다음 제국을 책임질 이는 내 사람이어야만 해.",
,황후 카일리,황후 카일리,Q_default_def,,,,,무슨 뜻인지 알겠니?,
,E,에런,E_default_des,,,,,······.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"네가 이런 식으로 나오면, 어쩔 수가 없단다.",
,,,,,,,,(황후는 에런을 응시하여 눈웃음을 지었다.,
,황후 카일리,황후 카일리,Q_default_bad,,,,,그 아이를 건드리는 수밖에.,
,E,에런,E_default_bad,shake,,,,···그만!,화면 흔드림
,,,,,,,,"(에런은 황후의 말을 끊으며, 소리쳤다.",
,,,,,,,,"(그저 힘없이 고개를 떨구고는, 황후의 명령을 수락했다.",
,E,에런,E_default_def,,,,,알겠습니다. 명대로 하겠습니다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"그래, 너와 내가 한 약속이 있잖니.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"황실에서 그 아이만은 살리는 조건으로, 내 말을 듣기로 한 약속 말이야.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"나야 아쉽지만, 어쩔 수 없지.",
,황후 카일리,황후 카일리,Q_default_smi,,,,,너는 아주 유용하니까.,
,E,에런,E_default_des,,,,,······.,
,,,,,,,,"(에런은 조용히 칼을 뽑아, 황후 옆에 앉아 있는 황태자에게 다가갔다.",
,,,,,,,,(황태자는 여전히 정신을 차리지 못한 채였다.,
,황태자,황태자,P_default,,sword_damage2,,,으윽!,
,,,,,,ptsd6,,(에런에 의해 황태자의 목이 단칼에 베여나갔다. 이미 제정신이 아닌 황태자를 죽이는 건 어렵지 않은 일이었다.,
,,,,,,,,"(황태자의 피가 자기에게까지 튀었으나, 그녀는 아랑곳하지 않았다.",
,,,,,,,,(그저 아들의 죽음을 비웃으며 지켜볼 뿐이었다.,
,,,,,,,,(에런은 역겹다는 눈빛으로 황후를 쳐다보았다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,후회되니?,
,황후 카일리,황후 카일리,Q_default_def,,,,,"그러게, 황궁까지 들여보내 줬으면 조용히나 살지. ",
,황후 카일리,황후 카일리,Q_default_def,,,,,왜 괜히 사생아를 키우는 짓 따위를 해서 일을 피곤하게 만들어?,
,E,에런,E_default_def,,,,,이제 와서 후회하지는 않습니다.,
,E,에런,E_default_def,,,,,그 아이를 거둔 것도요.,
,E,에런,E_default_bad,,,,,지금은 목표를 위해서라면 어떠한 수단이든 가리지 않는 당신이 역겨울 뿐입니다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,그렇니? 그게 뭐 어때서.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"아마, 그 사생아 아이도 곧 나처럼 될 거란다.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"그 아이, 분란의 불씨를 갖고 온 모양이거든.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"그래서, 계획을 조금 바꿀 거란다.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"원래는 그 아이를 반역자로 몰아, 너에게 넘겨주려고 했는데 말이야.",
,황후 카일리,황후 카일리,Q_default_def,,,,,더 좋은 생각이 있지 뭐니.,
,E,에런,E_default_emb,,,,,대체 무슨···?,
,황후 카일리,황후 카일리,Q_default_def,,,,,거기.,
,,,,,,,,(황후는 심복에게 손짓했다.,
,황후 심복,황후 심복,Nobility1,,,,,예.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"황실 기사단을 대동해서, 황궁에 불을 지르렴.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"그리고, 목 놓아 크게 외쳐.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"제국의 책략가, 에런 스노우가 부패한 황실을 밀어내기 위해 반역을 일으켰다고.",
,E,에런,E_default_emb,,,,,···!,
,황후 심복,황후 심복,Nobility1,,,,,알겠습니다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,(황후의 심복은 알겠다는 대답만 할 뿐이었다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,좋은 황제가 되어야 하지 않겠니.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"너는 이제부터, 영웅이 되는 거란다.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"나는 황제에게 이용당하며 살다, 너와 함께 이 제국을 바꾸기로 한 것이고.",
,E,에런,E_default_emb,,,,,누가 들으면 당신의 말이 진실인 줄 알겠습니다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,네가 생각해도 그렇지?,
,E,에런,E_default_def,,,,,···대신 이전에 했던 약속은 반드시 지켜주셔야 할 겁니다.,
,황후 카일리,황후 카일리,Q_default_smi,,,,,"당연하지, 아이야.",
,,,,,,,,(황후는 알 수 없는 미소를 지었다.,
,,,,,,,,"(황태자가 죽은 이후로, 모든 일은 속전속결로 진행됐다.",
,,,,,,,,"(에런은 황실기사단과 함께, 황제와 연이 있던 자들을 모조리 죽여나갔다.",
,,,,,,,,(귀족들도 예외는 아니었다.,
black,,,,,,gloomy,,"(그리고 이는, 세레나의 기사단도 해당했다.",검은화면
Kingdom_way,S,세레나,,,,,,스승님의 반역이라니···?,황궁 복도 배경
,S,세레나,,,,,,대체 이게 무슨 소리야!,
,,,,,,,,(난장판이 되어버린 지금 이 상황을 이해하는 것은 불가능에 가까웠다.,
,,,,,,,,(황후와 스승님은 분명한 동맹이었다.,
,S,세레나,,,,,,스승님이 황후를 배신한 건가?,
,S,세레나,,,,,,"아니야, 증거들도 확실했어.",
,,,,,,,,"(하지만 내심, 스승님이 황후의 편이 아니었으면 좋겠다고 생각했다.",
,황실 기사단,황실 기사단,Knight_default,,,,,저기에 황녀가 있다!,
,황실 기사단,황실 기사단,Knight_default,,,,,황족을 모조리 죽여!,
,황실 기사단,황실 기사단,Knight_default,,,,,에런 스노우의 새로운 시대가 열릴 거다!,
,,,,,,,,배신자 세레나 에프탈을 죽여라!,
,,,,,,,,"(황실 기사단에서 들려오는 스승님의 이름에, 나는 머리가 어지러웠다.",
,S,세레나,,,,,,그럼 그렇지···.,
,S,세레나,,,,,,난 뭘 기대한 거야.,
,S,세레나,,,,,,이건 필히 황후의 계략이야.,
,S,세레나,,,,,,스승님과 함께 벌인.,
,,,,,,,,(오히려 황후는 나를 부패한 황제의 편으로 몰아가려는 듯했다.,
,,,,,,,,"(그녀가 내 계획을 눈치채고, 먼저 선수를 친 것이다.",
,,,,,,,,"(어이없게도, 나는 반역의 반역자가 되었다.",
,,,,,,,,(새로운 황제가 될 것이라는 스승님의 반대편에 서서.,
,,,,,,,,(스승님도 알고 있는 걸까? ,
,S,세레나,,,,,,···모를 리가 없지.,
,,,,,,,,"(나는 검을 들고, 황실 기사단에 맞서 싸우며 앞으로 나아갔다.",
,,,,,,,,"(황궁의 중심부에 도착하자, 헤안과 기사단이 보였다.",
,,,,,,,,(이곳 또한 난장판인 것은 마찬가지였다.,
,S,세레나,,,,,,헤안!,
,H,헤안,H_defualt_ang,,,,,세레나님!,
,H,헤안,H_defualt_ang,,,,,황실 기사단이 우리 기사단을 공격하고 있습니다.,
,H,헤안,H_defualt_ang,,,,,"최대한 막아보고는 있지만, 오래 버티긴 힘들 것 같습니다···.",
,,,,,,,,"(그 또한 나와 마찬가지로, 혼란스러움을 겪고 있었다.",
,S,세레나,,,,,,에런 스노우와 황후가 벌인 짓입니다.,
,S,세레나,,,,,,그들을 저지해야 해요.,
,H,헤안,H_defualt_emb,,,,,"하지만, 이곳은 적들의 소굴입니다.",
,H,헤안,H_defualt_emb,,,,,저희는 이 황궁에 갇혀버린 겁니다.,
,,,,,,ptsd7,,"(그때, 누군가 여유로운 걸음으로 헤안과 내 앞에 다가왔다.",발소리
,황후 카일리,황후 카일리,Q_default_def,,,,,"이런 식으로 다시 만나게 되었구나, 아이야.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"그러게, 넌 너무 설치고 다녔어.",
,,,,,,,,(황후였다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"흠, 내가 누구와 약속한 게 있어서···.",
,황후 카일리,황후 카일리,Q_default_def,,,,,특별히 너한테 하루의 시간을 줄게.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"얌전히 항복할지, 아니면 네 기사단과 함께 저세상에 가든지.",
,황후 카일리,황후 카일리,Q_default_smi,,,,,참 자비롭지 않니?,
,황후 카일리,황후 카일리,Q_default_smi,,,,,네가 마지막 남은 황제의 핏줄인 거에 비하면 말이야.,
,,,,,,,,(황후는 완전히 미쳐버린 게 분명했다.,
,,,,,,,,"(하지만, 당최 알 수가 없었다.",
,,,,,,,,"(남편과 친아들까지 죽이고 벌이는 짓이, 본인이 황제가 되는 게 아니라",
,,,,,,,,(고작 스승님을 황제로 내세우는 것이라는 게.,
,,,,,,,,(그리고 이상할 정도로 황실에 대한 강한 혐오감을 느끼고 있는 것도.,
,,,,menu,,,,"(그럼에도, 나는 선택해야만 했다. 황후가 준 선택지에서.",
,,,,choise1,,,,황후에게 반항한다.,전체 호감도 5 상승
,,,,choise2,,,,"황후의 제안을 받아들이고, 시간을 번다.",전체 호감도 10 상승
,S,세레나,,jump1,,,,내가 왜 당신 말을 들어야 하는 거지?,
,,,,,,,,(나는 그녀의 명령에 가까운 선택에 굴하고 싶지 않았다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,네 동료들의 목숨이 중요하지 않은가 보구나.,
,황후 카일리,황후 카일리,Q_default_def,,,,,지도자로서 능력이 영 안 좋네.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"고민할 시간이라도 주는걸, 감사히 여기렴.",
,S,세레나,,jump2,,,,···알겠습니다. 고민할 시간을 주시면 감사하겠습니다.,
,,,,,,,,"(비굴했다. 하지만, 지금으로써는 최선의 선택이었다.",
,황후 카일리,황후 카일리,Q_default_def,,,,,"그래, 잘 생각했어.",
,황후 카일리,황후 카일리,Q_default_def,,,,,나도 더 이상의 피는 보고 싶지 않단다.,
,,,,end,,,,"(황후는 뒤를 돌아, 황실 기사단에 무어라 말을 전했다.",
,,,,,,,,(그러고는 내게 말을 이었다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,나는 이 제국이 너무 더럽다고 생각한단다.,
,황후 카일리,황후 카일리,Q_default_def,,,,,역겨운 네 아비가 손을 댔으니 말이야.,
,황후 카일리,황후 카일리,Q_default_def,,,,,"그러니, 청소가 필요하지 않겠니.",
black,,,,,,,,"(그렇게 나와 기사단은 제압되었고,",
,,,,,,,,(황궁의 버려진 궁에 격리되었다.,숲배경 (밤)
Forest_night,S,세레나,,,,,,···죄송합니다. 제가 무능해서.,
,H,헤안,H_default_des,,,,,아닙니다. ,
,H,헤안,H_default_des,,,,,"저야말로, 도움이 되지 못해 죄송합니다.",
,,,,,,,,(주어진 시간은 너무나도 짧았다.,
,,,,,,,,(내가 할 수 있는 게 없었다.,
,,,,,,,,"(신이 준 축복이라는 힘도, 왠지 이상하게 사용되지 않았다.",
,,,,,,,,(이전처럼 응용해 보면 할 수 있을 것 같았는데 말이다.,
,S,세레나,,,,,,뭐가 축복이라는 거야···.,
,,,,,,comfort7,,"(그때, 허공에서 누군가 떨어졌다.",
,A,아드리안,A_default_ang,,,,,이 미친 마법사···!,
,N,녹스,N_default_def,,,,,"여기로 데려와 준 걸 감사히 여겨, 까탈 왕자.",
,,,,,,,,(말도 안 되는 조합의 두 명이었다.,
,N,녹스,N_default_def,,,,,"너 보러 왔는데 황궁은 난장판이고,",
,N,녹스,N_default_def,,,,,프라타히라 왕국의 기사단 무리가 황궁을 향하지 않나.,
,N,녹스,N_default_def,,,,,"영 상황이 안 좋은 것 같아서, 왕국이라도 내가 정리해 주려고 했는데.",
,N,녹스,N_default_def,,,,,"들어보니, 네 편인 것 같아서.",
,,,,,,,,(녹스가 심드렁한 표정을 지었다.,
,,,,,,,,(아드리안이 말을 이어갔다.,
,A,아드리안,A_default_def,,,,,제국에 심어놓은 사람에게서 연락이 왔어.,
,A,아드리안,A_default_def,,,,,황궁의 분위기가 심상치 않다고.,
,A,아드리안,A_default_def,,,,,"네가 계획을 실행하나 싶어서 도와주러 왔는데,",
,A,아드리안,A_default_def,,,,,상황이 내가 예상하던 것과는 다르더라고.,
,A,아드리안,A_default_def,,,,,"일단 너를 봐야 할 것 같은데, 섣불리 행동할 수는 없어 고민하던 중에···",
,A,아드리안,A_default_def,,,,,이 미친 마법사가 나타나서 안내해 줬어.,
,,,,,,,,(아드리안이 녹스 쪽을 가리켰다.,
,N,녹스,N_default_smi,,,,,나 잘했지?,
,,,,,,,,(막무가내 둘의 등장에 헛웃음이 나왔다.,
,,,,,,,,(하지만 이만큼 좋은 기회가 없었다.,
,,,,,,,,"(아드리안의 지원군만 있으면, 이 상황을 타파할 수 있을지도 모르니까.",
